person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,prev_default_flag,high_lpi_low_grade,default,pd_hat,risk_band,exposure,expected_loss
40,28000,2.0,5000,12.99,0.18,13,1,0,0,0.170928117950227,High,5000,384.5882653880107
25,61200,10.0,5200,5.42,0.08,4,0,0,0,0.0327409509545628,Low,5200,76.61382523367696
22,30000,3.0,3000,11.12,0.1,3,0,0,0,0.17214107887574376,High,3000,232.39045648225408
24,64000,8.0,4800,12.21,0.07,4,0,0,0,0.07664888288423838,Medium,4800,165.5615870299549
31,98000,7.0,5000,15.96,0.05,7,1,0,0,0.24778082643835134,High,5000,557.5068594862905
28,110000,0.0,6000,10.65,0.05,8,0,0,0,0.03759269468811644,Low,6000,101.5002756579144
26,36000,4.0,7000,13.98,0.19,2,1,0,1,0.15350204597675685,High,7000,483.5314448267841
22,66000,1.0,22000,10.99,0.33,2,0,1,1,0.6878949343397325,High,22000,6810.159849963352
32,51000,1.0,9000,12.99,0.18,5,1,0,0,0.12413505755920849,Medium,9000,502.7469831147944
38,110000,5.0,16000,11.99,0.15,17,0,0,0,0.04615235637958292,Low,16000,332.296965932997
21,84000,5.0,10000,12.53,0.12,4,0,0,0,0.052742927629696165,Medium,10000,237.34317433363276
45,69600,11.0,6000,7.9,0.09,13,0,0,0,0.03705681425369977,Low,6000,100.05339848498939
23,50004,7.0,16000,11.83,0.32,2,0,0,0,0.5632080229238802,High,16000,4055.0977650519376
27,100000,0.0,16000,10.99,0.16,6,1,0,0,0.11732272168524079,Medium,16000,844.7235961337336
22,29554,4.0,5775,5.42,0.2,3,0,0,1,0.08369939199209336,Medium,5775,217.51379493945262
31,36000,2.0,3500,12.53,0.1,10,1,0,0,0.1698032326424384,High,3500,267.4400914118405
27,47000,11.0,1300,10.46,0.03,8,0,0,0,0.07566916648339642,Medium,1300,44.266462392786906
26,75000,6.0,5000,7.66,0.07,2,0,0,0,0.033768799538522264,Low,5000,75.97979896167509
28,88000,3.0,10000,10.65,0.11,9,0,0,1,0.05506837026751383,Medium,10000,247.80766620381223
25,30000,6.0,4000,9.76,0.13,3,0,0,0,0.14619782958163965,Medium,4000,263.1560932469514
23,115275,7.0,7500,11.28,0.07,4,1,0,0,0.09038541003498311,Medium,7500,305.050758868068
27,55000,11.0,13000,8.88,0.24,6,0,0,0,0.04969089283653083,Low,13000,290.6917230937054
31,101416,9.0,15000,12.87,0.15,8,1,0,0,0.07621834333698907,Medium,15000,514.4738175246763
29,50000,13.0,12000,8.94,0.24,5,0,0,0,0.052840265246273076,Medium,12000,285.3374323298746
25,25200,5.0,1200,15.99,0.05,3,1,0,0,0.5180989273233576,High,1200,279.77342075461314
29,60000,4.0,10000,8.59,0.17,5,0,0,0,0.03744351495413476,Low,10000,168.49581729360645
22,89250,6.0,7500,13.24,0.07,2,1,0,1,0.10008470107973365,Medium,7500,337.7858661441011
23,75000,5.0,12500,15.33,0.17,3,1,0,0,0.3690435298912633,High,12500,2075.869855638356
32,106300,13.0,20000,10.99,0.19,5,0,0,0,0.05397352287106499,Medium,20000,485.76170583958486
22,43000,5.0,3500,11.49,0.08,3,0,0,0,0.10700707976474165,Medium,3500,168.5361506294681
24,88494,8.0,24000,10.99,0.27,2,0,0,0,0.11112827390571527,Medium,24000,1200.185358181725
28,35000,5.0,9600,13.16,0.27,8,0,0,0,0.13629889913978707,Medium,9600,588.8112442838802
28,40000,2.0,9000,12.53,0.23,8,0,0,0,0.0830386523001868,Medium,9000,336.30654181575653
25,21812,7.0,6000,14.72,0.28,2,1,0,0,0.4643844864619818,High,6000,1253.8381134473511
24,43000,8.0,10000,16.89,0.23,4,0,0,1,0.4929841950930432,High,10000,2218.4288779186945
32,45000,16.0,6000,7.49,0.13,6,0,0,0,0.0368019557208966,Low,6000,99.36528044642081
21,12000,5.0,3000,8.9,0.25,4,0,0,1,0.9244736818106006,High,3000,1248.0394704443108
23,24000,1.0,2800,16.07,0.12,3,0,0,1,0.7594696536304035,High,2800,956.9317635743084
32,27600,0.0,7000,6.54,0.25,9,0,0,0,0.06704865353583193,Medium,7000,211.2032586378706
22,60000,2.0,5125,11.86,0.09,3,0,0,0,0.06166238610503612,Medium,5125,142.20887795473953
21,62000,2.0,6000,7.51,0.1,4,0,0,0,0.03474178775306578,Low,6000,93.8028269332776
21,36000,3.0,15000,6.62,0.42,2,0,0,1,0.6001646103679602,High,15000,4051.111119983731
21,118000,5.0,14000,7.88,0.12,3,0,0,0,0.037313505768828525,Low,14000,235.07508634361974
30,65144,9.0,5000,16.35,0.07,6,1,0,1,0.43171674630717954,High,5000,971.3626791911539
26,58000,10.0,5000,10.62,0.09,2,0,0,0,0.07647355128835995,Medium,5000,172.06549039880989
32,84996,5.0,20000,8.88,0.24,5,0,0,0,0.040493386490288885,Low,20000,364.4404784126
40,55182,0.0,6000,6.99,0.11,13,0,0,0,0.04184937123974659,Low,6000,112.99330234731579
28,110004,2.0,15000,10.99,0.14,5,0,0,0,0.0452464860758395,Low,15000,305.41378101191657
31,65000,3.0,10000,13.61,0.15,9,0,0,0,0.09784452764627957,Medium,10000,440.3003744082581
32,84000,7.0,15000,10.99,0.18,7,0,0,0,0.05481164125128012,Medium,15000,369.97857844614083
22,30000,4.0,7000,16.49,0.23,3,1,0,1,0.5735900023081054,High,7000,1806.8085072705321
25,46144,9.0,1500,7.49,0.03,2,0,0,0,0.04256611117225206,Low,1500,28.732125041270137
31,72000,14.0,7000,5.42,0.1,8,0,0,0,0.03280592850240574,Low,7000,103.33867478257808
24,40800,5.0,4800,13.85,0.12,3,1,0,0,0.14546025215809277,Medium,4800,314.1941446614804
33,102000,17.0,35000,10.99,0.34,8,1,1,0,0.5934687009564629,High,35000,9347.13204006429
22,130000,6.0,3000,13.49,0.02,2,0,0,0,0.056129683693523724,Medium,3000,75.77507298625703
37,50000,1.0,15000,13.22,0.3,11,1,0,0,0.14268899490121845,Medium,15000,963.1507155832246
47,53808,4.0,15000,11.71,0.28,16,0,0,0,0.09699366040191003,Medium,15000,654.7072077128927
22,75000,2.0,7200,13.61,0.1,4,0,0,0,0.0989720570997731,Medium,7200,320.6694650032648
27,65000,8.0,3000,12.42,0.05,10,0,0,0,0.07589402720580588,Medium,3000,102.45693672783793
38,48000,4.0,7600,7.88,0.16,11,0,0,0,0.033164627022230886,Low,7600,113.42302441602963
22,62400,3.0,24000,14.84,0.38,2,0,1,1,0.7777500547762431,High,24000,8399.700591583427
26,88500,10.0,10000,8.59,0.11,4,0,0,0,0.04615642167997866,Low,10000,207.70389755990396
25,65454,9.0,8400,11.99,0.13,2,0,0,0,0.07542357661930274,Medium,8400,285.10111962096437
39,48000,4.0,20500,14.59,0.43,16,0,1,1,0.8284732751861474,High,20500,7642.66596359221
22,59000,5.0,6000,10.99,0.1,2,0,0,0,0.1652465772530826,High,6000,446.165758583323
27,120000,3.0,14000,11.99,0.12,10,0,0,0,0.04293600460583012,Low,14000,270.49682901672975
28,50000,4.0,15000,7.49,0.3,8,0,0,0,0.04987320543727053,Low,15000,336.6441367015761
24,25800,0.0,6000,7.14,0.23,4,0,0,0,0.07419611909334548,Medium,6000,200.3295215520328
23,43955,7.0,7800,15.62,0.18,3,0,0,0,0.47617287110049045,High,7800,1671.3667775627214
27,34800,2.0,4000,14.54,0.11,7,1,0,1,0.6947813742806431,High,4000,1250.6064737051577
30,143000,11.0,18000,8.49,0.13,7,0,0,0,0.027266903138412464,Low,18000,220.86191542114096
23,56525,1.0,15000,11.48,0.23,4,0,0,1,0.10313646585500372,Medium,15000,696.1711445212751
35,100000,9.0,6000,9.99,0.06,7,0,0,0,0.03332158613726225,Low,6000,89.96828257060807
23,75000,5.0,5000,11.12,0.07,2,0,0,0,0.07262367462098611,Medium,5000,163.40326789721874
24,57000,0.0,13500,6.92,0.24,2,0,0,0,0.03915263531800585,Low,13500,237.85225955688557
33,300000,8.0,25000,14.42,0.08,7,1,0,0,0.24436146721008653,High,25000,2749.066506113473
26,57000,4.0,12000,13.49,0.21,2,1,0,0,0.12813849621656898,Medium,12000,691.9478795694724
22,60000,7.0,10000,10.99,0.17,3,0,0,0,0.05945993411103966,Medium,10000,267.5697034996785
24,18000,8.0,6000,12.21,0.33,2,0,0,1,0.9694177401262278,High,6000,2617.4278983408153
24,38000,3.0,16000,10.99,0.42,2,0,0,0,0.7054845351434736,High,16000,5079.48865303301
28,33600,12.0,4200,10.0,0.13,5,0,0,0,0.15121482664437055,High,4200,285.79602235786035
26,97188,7.0,16000,12.8,0.16,3,0,0,0,0.0796215578181239,Medium,16000,573.2752162904922
40,52479,17.0,6600,14.54,0.13,17,0,0,1,0.3049940291599681,High,6600,905.8322666051052
27,80000,8.0,12800,18.67,0.16,6,1,0,0,0.352074933855331,High,12800,2027.9516190067066
32,90000,11.0,20000,13.22,0.22,6,1,0,0,0.08970195302278666,Medium,20000,807.31757720508
28,33000,12.0,8000,14.65,0.24,9,0,0,1,0.4776903866519664,High,8000,1719.685391947079
22,30000,2.0,13000,13.11,0.43,3,0,0,1,0.8029873733431298,High,13000,4697.4761340573095
24,110000,4.0,8000,5.99,0.07,3,0,0,0,0.02250358128635568,Low,8000,81.01289263088044
34,59000,1.0,20000,10.99,0.34,7,1,0,1,0.7952032976890732,High,20000,7156.829679201658
36,250000,14.0,31400,14.27,0.13,16,1,0,0,0.2289465559325928,High,31400,3235.0148353275363
31,65000,9.0,20000,10.65,0.31,8,0,0,1,0.43169593408466,High,20000,3885.26340676194
27,72000,8.0,15250,13.16,0.21,5,1,0,0,0.11634182303617399,Medium,15250,798.395760585744
25,64800,5.0,10000,7.88,0.15,4,0,0,0,0.033437778179094636,Low,10000,150.47000180592588
27,68000,4.0,30000,15.99,0.44,7,0,1,0,0.8048493864148711,High,30000,10865.46671660076
22,59600,6.0,6000,5.42,0.1,3,0,0,0,0.04390846362640771,Low,6000,118.55285179130082
27,58000,0.0,4600,13.99,0.08,10,1,0,0,0.2291009853599702,High,4600,474.2390396951383
22,51500,6.0,7500,9.88,0.15,3,0,0,0,0.06754123672948859,Medium,7500,227.95167396202396
38,140000,0.0,25000,9.99,0.18,12,0,0,0,0.038477011660800566,Low,25000,432.8663811840064
28,200000,2.0,15000,8.9,0.07,10,0,0,0,0.02825742184397105,Low,15000,190.73759744680459
30,57000,3.0,9000,17.93,0.16,6,1,0,1,0.48126430903880074,High,9000,1949.120451607143
23,28000,0.0,5000,11.78,0.18,3,0,0,0,0.15297474897548793,High,5000,344.19318519484784
30,40525,8.0,4800,14.65,0.12,10,0,0,1,0.35329068667271163,High,4800,763.1078832130571
23,21600,1.0,4500,15.65,0.21,2,0,0,1,0.758623967480602,High,4500,1536.2135341482192
26,71046,10.0,6500,10.99,0.09,4,0,0,0,0.07551601263579079,Medium,6500,220.88433695968806
24,64000,8.0,5000,7.88,0.08,4,0,0,1,0.03455468945207271,Low,5000,77.7480512671636
23,91000,5.0,10000,10.2,0.11,2,0,0,0,0.038761516325994894,Low,10000,174.42682346697703
26,45900,0.0,12000,10.39,0.26,3,0,0,0,0.09709720456210875,Medium,12000,524.3249046353874
25,28800,2.0,1600,6.62,0.06,2,0,0,0,0.06212673160819801,Medium,1600,44.73124675790257
25,60000,9.0,6500,5.79,0.11,4,0,0,0,0.025977500989868493,Low,6500,75.98419039536535
34,120000,4.0,12000,11.49,0.1,6,0,0,0,0.04357064454176025,Low,12000,235.28148052550534
26,40000,6.0,6000,11.99,0.15,2,0,0,0,0.08276562798248673,Medium,6000,223.46719555271417
24,91000,5.0,15000,7.88,0.16,4,0,0,0,0.027222013877533195,Low,15000,183.74859367334906
35,49872,2.0,8400,7.29,0.17,9,0,0,0,0.038697840101646154,Low,8400,146.27783558422246
27,27000,3.0,6900,9.99,0.26,7,0,0,0,0.14441495342508656,Medium,6900,448.4084303848938
25,52000,9.0,17000,12.98,0.33,2,1,0,1,0.6229042952229369,High,17000,4765.217858455468
30,57000,6.0,4000,8.0,0.07,8,0,0,0,0.05495679700389999,Medium,4000,98.92223460701999
23,95000,7.0,25000,18.78,0.26,4,0,0,0,0.5434144916576498,High,25000,6113.413031148561
23,31800,7.0,9600,13.48,0.3,3,1,0,1,0.2514006268139528,High,9600,1086.0507078362762
24,100000,1.0,5000,10.99,0.05,3,0,0,0,0.04733111448884241,Low,5000,106.49500759989543
23,61000,2.0,8400,14.84,0.14,2,0,0,1,0.5268846636809552,High,8400,1991.6240287140108
27,39000,6.0,6400,10.99,0.16,10,0,0,0,0.19188287835717516,High,6400,552.6226896686645
36,55200,3.0,9900,14.84,0.18,13,1,0,1,0.4721306007936991,High,9900,2103.3418265359296
23,38000,7.0,12000,11.71,0.32,4,0,0,1,0.6544861810304319,High,12000,3534.2253775643326
31,179000,13.0,11200,14.27,0.06,5,0,0,0,0.10274344295521888,Medium,11200,517.8269524943031
24,66000,3.0,25000,9.91,0.38,2,0,0,1,0.5300980823801639,High,25000,5963.603426776844
45,38268,14.0,8400,12.18,0.22,11,0,0,0,0.09583966564113913,Medium,8400,362.27393612350596
24,70000,8.0,25000,9.62,0.36,2,0,0,0,0.3480015375402622,High,25000,3915.01729732795
26,34000,5.0,5500,10.65,0.16,3,0,0,1,0.24653457643104004,High,5500,610.173076666824
28,108000,2.0,20000,15.31,0.19,8,1,0,1,0.5344300561557105,High,20000,4809.870505401394
24,87000,7.0,25000,10.99,0.29,2,0,0,0,0.07992811371649848,Medium,25000,899.1912793106079
22,30000,4.0,8000,10.99,0.27,3,0,0,1,0.19040370773297843,High,8000,685.4533478387224
33,66500,1.0,9200,10.99,0.14,7,0,0,0,0.07416775458131646,Medium,9200,307.05450396665015
23,140000,7.0,6000,13.49,0.04,3,1,0,0,0.06993349648004575,Medium,6000,188.82044049612352
34,120000,17.0,35000,10.59,0.29,6,0,0,0,0.04841957126785704,Low,35000,762.6082474687483
29,59000,4.0,20000,20.17,0.34,5,1,1,1,0.9618275447456769,High,20000,8656.447902711092
24,39000,2.0,16000,13.06,0.41,2,0,0,1,0.859758973085159,High,16000,6190.264606213145
31,36000,4.0,8000,10.65,0.22,6,0,0,0,0.09942157324752218,Medium,8000,357.91766369107984
32,40000,0.0,6000,12.69,0.15,8,0,0,0,0.09874501925925189,Medium,6000,266.6115519999801
28,63000,7.0,8575,13.49,0.14,8,0,0,0,0.09370150891986398,Medium,8575,361.57069754452516
27,82000,0.0,14000,10.0,0.17,7,0,0,0,0.0412906128342817,Low,14000,260.13086085597473
29,77000,3.0,17600,13.48,0.23,8,0,0,0,0.09591000528948926,Medium,17600,759.6072418927549
21,32000,5.0,6000,5.42,0.19,4,0,0,0,0.08369939199209336,Medium,6000,225.9883583786521
33,26100,16.0,5000,10.75,0.19,6,0,0,0,0.1369488992755133,Medium,5000,308.1350233699049
33,235000,3.0,25000,10.62,0.11,6,0,0,0,0.04211931495178627,Low,25000,473.84229320759556
31,95000,3.0,24000,13.67,0.25,10,1,0,0,0.11019996881501716,Medium,24000,1190.1596632021854
23,73500,7.0,6000,14.96,0.08,4,1,0,0,0.4198804782907608,High,6000,1133.677291385054
44,30000,6.0,5000,13.98,0.17,11,0,0,0,0.20306787167433513,High,5000,456.90271126725406
25,40000,0.0,8000,10.38,0.2,4,0,0,0,0.06420534864941844,Medium,8000,231.1392551379064
47,140000,4.0,10000,10.99,0.07,13,1,0,0,0.10781679076405731,Medium,10000,485.1755584382579
28,45000,6.0,3600,16.29,0.08,7,0,0,0,0.4538657434004696,High,3600,735.2625043087608
22,65000,0.0,15000,11.36,0.23,3,0,0,0,0.07949555033200617,Medium,15000,536.5949647410417
25,138000,9.0,8000,6.99,0.06,4,0,0,0,0.02158501836381136,Low,8000,77.70606610972091
38,170000,0.0,5500,10.99,0.03,13,0,0,0,0.04455403132600274,Low,5500,110.2712275318568
22,18000,1.0,4000,10.91,0.22,4,1,0,1,0.951150653541064,High,4000,1712.0711763739153
28,41600,0.0,13000,11.58,0.31,9,0,0,0,0.6957423422782666,High,13000,4070.0927023278596
36,87000,5.0,5000,13.98,0.06,14,0,0,0,0.07343443975519692,Medium,5000,165.2274894491931
36,30500,3.0,8000,11.11,0.26,13,0,0,1,0.18545126015251692,High,8000,667.6245365490608
22,70000,6.0,29100,15.99,0.42,3,0,1,1,0.6657954002891964,High,29100,8718.590766787027
23,46800,7.0,9000,10.99,0.19,4,0,0,0,0.09662987870805016,Medium,9000,391.35100876760316
23,47000,7.0,13850,12.68,0.29,4,1,0,0,0.14067871358153838,Medium,13850,876.7800823969379
28,90000,7.0,16000,12.68,0.18,10,0,0,0,0.05539426566886219,Medium,16000,398.83871281580775
24,48000,2.0,5500,11.36,0.11,3,0,0,0,0.09924847722243793,Medium,5500,245.63998112553386
22,98000,1.0,9000,9.63,0.09,2,0,0,1,0.03507976213793311,Low,9000,142.0730366586291
25,24000,3.0,6250,13.72,0.26,3,1,0,0,0.20737859263887637,High,6250,583.2522917968398
32,62500,3.0,3800,13.11,0.06,10,0,0,1,0.0957951535029651,Medium,3800,163.80971249007032
37,72800,0.0,23000,11.58,0.32,17,0,0,0,0.7319098931818416,High,23000,7575.267394432061
26,26004,2.0,10000,11.14,0.38,3,0,0,0,0.7486133045029035,High,10000,3368.7598702630657
24,64000,8.0,30000,14.54,0.47,3,1,1,1,0.7656175978091002,High,30000,10335.837570422853
42,153000,7.0,25000,20.53,0.16,14,0,0,1,0.6576946868892325,High,25000,7399.0652275038665
26,74970,5.0,6000,7.88,0.08,2,0,0,0,0.032395200286866474,Low,6000,87.46704077453948
27,75000,4.0,6625,10.99,0.09,10,0,0,0,0.07066889105648753,Medium,6625,210.68163146215346
36,171870,4.0,9400,15.62,0.05,11,1,0,1,0.26383987906955064,High,9400,1116.0426884641993
24,102000,5.0,23800,8.9,0.23,2,0,0,0,0.03572946743773101,Low,23800,382.66259625809914
24,75000,4.0,6400,10.36,0.09,4,0,0,0,0.05456357693332071,Medium,6400,157.14310156796364
22,36000,6.0,7500,7.14,0.21,3,0,0,0,0.05031988310076114,Medium,7500,169.82960546506885
24,69000,4.0,25000,15.57,0.36,2,0,1,1,0.8288919494024114,High,25000,9325.034430777128
35,54000,1.0,9000,14.46,0.17,8,0,0,1,0.5265838809000375,High,9000,2132.664717645152
25,63300,0.0,17600,12.53,0.28,4,1,0,0,0.1565258969363998,High,17600,1239.6851037362865
28,63550,12.0,12500,10.99,0.2,10,0,0,0,0.07354269022532123,Medium,12500,413.6776325174319
36,48000,17.0,10000,9.63,0.21,14,0,0,0,0.058142712719933265,Medium,10000,261.6422072396997
26,68004,10.0,3500,15.28,0.05,3,1,0,1,0.38511371527831517,High,3500,606.5541015633464
23,26500,6.0,6000,8.0,0.23,3,0,0,0,0.0948227837831657,Medium,6000,256.02151621454743
25,33600,5.0,5075,5.79,0.15,2,0,0,0,0.07233163247599295,Medium,5075,165.18736566704888
22,60000,5.0,8800,10.37,0.15,4,0,0,0,0.044878068242423574,Low,8800,177.71715023999735
41,60000,7.0,12000,6.91,0.2,13,0,0,0,0.021215285128341962,Low,12000,114.5625396930466
30,48000,3.0,1500,13.48,0.03,5,1,0,0,0.12753640472897956,Medium,1500,86.08707319206121
26,26000,4.0,12000,10.99,0.46,3,0,0,0,0.747665593747739,High,12000,4037.3942062377905
21,30000,5.0,9000,5.99,0.3,4,0,0,0,0.10405169695103007,Medium,9000,421.40937265167184
32,56784,3.0,12000,14.96,0.21,10,1,0,0,0.41208093304428933,High,12000,2225.2370384391625
22,57000,6.0,11425,9.91,0.2,4,0,0,0,0.0712723457471914,Medium,11425,366.4289475727478
36,50000,2.0,16000,13.48,0.32,15,0,0,0,0.7175280744314751,High,16000,5166.202135906621
32,72500,4.0,4000,5.42,0.06,10,0,0,0,0.032829005077403245,Low,4000,59.092209139325846
23,25596,2.0,4500,9.99,0.18,4,0,0,0,0.13780998599396838,Medium,4500,279.06522163778595
24,69996,8.0,3000,6.39,0.04,3,0,0,0,0.02493431703467209,Low,3000,33.66132799680732
25,44196,8.0,4000,7.51,0.09,3,0,0,0,0.07858031292499061,Medium,4000,141.4445632649831
27,65000,9.0,4000,6.99,0.06,5,0,0,0,0.033337619823225806,Low,4000,60.00771568180645
22,23000,2.0,4800,10.0,0.21,4,0,0,0,0.14083003847116304,Medium,4800,304.1928830977122
27,70000,4.0,20000,11.48,0.29,8,0,0,0,0.07477759353225068,Medium,20000,672.9983417902562
29,15600,4.0,5275,14.72,0.34,8,1,0,1,0.9814305493183749,High,5275,2329.6707664444925
24,62500,2.0,6000,5.79,0.1,2,0,0,0,0.03217723956164087,Low,6000,86.87854681643034
22,48000,6.0,4000,9.91,0.08,3,0,0,0,0.07411594736651429,Medium,4000,133.40870525972574
37,26240,0.0,6600,11.49,0.25,15,0,0,0,0.13830092634073812,Medium,6600,410.7537512319922
29,60000,4.0,14125,13.49,0.24,5,0,0,0,0.07217928199751718,Medium,14125,458.7895611967186
23,124800,4.0,28000,10.99,0.22,2,0,0,0,0.05370435174411926,Medium,28000,676.6748319759026
31,40000,3.0,2000,10.37,0.05,7,0,0,0,0.06459726445628924,Medium,2000,58.137538010660315
43,98760,8.0,5000,14.84,0.05,14,0,0,0,0.22304116243334718,High,5000,501.8426154750312
24,70000,5.0,14400,12.23,0.21,4,0,0,0,0.06003094053884018,Medium,14400,389.00049469168437
27,200000,6.0,10000,7.51,0.05,10,0,0,0,0.023073546810004966,Low,10000,103.83096064502236
24,52000,7.0,5000,14.22,0.1,3,1,0,0,0.23445304875152492,High,5000,527.5193596909311
24,36000,6.0,15250,15.95,0.42,2,1,1,1,0.8207237382334764,High,15250,5632.216653627232
25,36000,2.0,13750,13.22,0.38,4,0,0,1,0.7705005060662451,High,13750,4767.471881284891
24,80000,8.0,24000,14.35,0.3,3,1,0,0,0.21628595562073064,High,24000,2335.888320703891
25,120000,6.0,10000,10.99,0.08,2,0,0,0,0.04328721775985113,Low,10000,194.7924799193301
34,30000,3.0,8875,14.27,0.3,8,1,0,0,0.4032347131318127,High,8875,1610.418635570177
27,83604,2.0,11000,9.76,0.13,7,0,0,0,0.03935883304186453,Low,11000,194.82622355722944
30,92000,9.0,5000,10.99,0.05,10,0,0,0,0.04848535758283867,Low,5000,109.09205456138702
34,357000,3.0,14000,18.64,0.04,9,1,0,0,0.39485432064078063,High,14000,2487.582220036918
23,39996,0.0,6000,11.66,0.15,3,0,0,0,0.08446613281251543,Medium,6000,228.05855859379167
28,62000,0.0,12000,10.65,0.19,8,0,0,0,0.06155157655694003,Medium,12000,332.3785134074762
26,69000,8.0,15000,7.49,0.22,3,0,0,0,0.05454037335379279,Medium,15000,368.1475201381013
22,103000,4.0,2500,10.99,0.02,3,0,0,0,0.04565259353883759,Low,2500,51.35916773119229
24,38400,2.0,5500,6.92,0.14,3,0,0,0,0.0389108707066382,Low,5500,96.30440499892956
21,40000,3.0,8000,6.92,0.2,4,0,0,0,0.03212115794564868,Low,8000,115.63616860433527
22,33000,1.0,2000,10.99,0.06,3,0,0,0,0.16826879849193277,High,2000,151.4419186427395
26,50200,1.0,9000,7.66,0.18,3,0,0,0,0.03749698963840529,Low,9000,151.86280803554143
40,148350,11.0,5000,6.03,0.03,11,0,0,0,0.021544758935411117,Low,5000,48.47570760467501
38,50000,6.0,3000,15.05,0.06,12,0,0,0,0.37976588944942574,High,3000,512.6839507567248
45,28320,1.0,3000,10.99,0.11,11,0,0,0,0.13187208718476193,Medium,3000,178.0273176994286
24,60000,1.0,15000,16.89,0.25,2,1,0,0,0.6539501987507566,High,15000,4414.163841567607
48,49000,2.0,6000,14.09,0.12,11,1,0,1,0.25439800181135286,High,6000,686.8746048906527
24,20000,3.0,3600,11.71,0.18,4,0,0,0,0.12791709112068458,Medium,3600,207.22568761550903
22,32000,0.0,7875,14.91,0.25,2,0,0,1,0.7158594260304058,High,7875,2536.82684099525
